Sample_id,Type
11CO037_Normal,Normal
11CO051_Normal,Normal
05CO035_Normal,Normal
20CO001_Normal,Normal
05CO045_Normal,Normal
15CO001_Normal,Normal
11CO019_Normal,Normal
05CO041_Normal,Normal
11CO042_Normal,Normal
05CO033_Normal,Normal
11CO008_Normal,Normal
09CO008_Normal,Normal
05CO044_Normal,Normal
09CO005_Normal,Normal
05CO007_Normal,Normal
21CO007_Normal,Normal
01CO006_Normal,Normal
05CO050_Normal,Normal
05CO011_Normal,Normal
11CO021_Normal,Normal
01CO014_Normal,Normal
09CO006_Normal,Normal
15CO002_Normal,Normal
11CO018_Normal,Normal
27CO004_Normal,Normal
09CO015_Normal,Normal
11CO070_Normal,Normal
01CO001_Normal,Normal
14CO002_Normal,Normal
11CO033_Normal,Normal
16CO006_Normal,Normal
05CO029_Normal,Normal
05CO003_Normal,Normal
05CO049_Normal,Normal
11CO031_Normal,Normal
05CO015_Normal,Normal
11CO052_Normal,Normal
05CO026_Normal,Normal
11CO007_Normal,Normal
05CO054_Normal,Normal
05CO034_Normal,Normal
11CO054_Normal,Normal
11CO027_Normal,Normal
11CO061_Normal,Normal
05CO053_Normal,Normal
11CO048_Normal,Normal
01CO013_Normal,Normal
11CO047_Normal,Normal
22CO006_Normal,Normal
14CO005_Normal,Normal
01CO015_Normal,Normal
11CO032_Normal,Normal
11CO077_Normal,Normal
11CO053_Normal,Normal
09CO022_Normal,Normal
20CO007_Normal,Normal
20CO006_Normal,Normal
01CO008_Normal,Normal
11CO020_Normal,Normal
11CO044_Normal,Normal
11CO057_Normal,Normal
11CO010_Normal,Normal
05CO020_Normal,Normal
20CO004_Normal,Normal
01CO019_Normal,Normal
16CO011_Normal,Normal
11CO072_Normal,Normal
05CO039_Normal,Normal
11CO045_Normal,Normal
11CO005_Normal,Normal
21CO006_Normal,Normal
06CO002_Normal,Normal
01CO005_Normal,Normal
11CO043_Normal,Normal
11CO060_Normal,Normal
05CO002_Normal,Normal
09CO013_Normal,Normal
09CO019_Normal,Normal
05CO048_Normal,Normal
05CO006_Normal,Normal
05CO028_Normal,Normal
22CO004_Normal,Normal
11CO030_Normal,Normal
11CO036_Normal,Normal
11CO062_Normal,Normal
16CO002_Normal,Normal
20CO003_Normal,Normal
05CO032_Normal,Normal
11CO022_Normal,Normal
11CO039_Normal,Normal
09CO011_Normal,Normal
11CO058_Normal,Normal
05CO037_Normal,Normal
09CO018_Normal,Normal
11CO079_Normal,Normal
01CO022_Normal,Normal
09CO014_Normal,Normal
05CO047_Normal,Normal
06CO001_Normal,Normal
16CO003_Normal,Normal
01CO008_Tumor,Tumor
22CO006_Tumor,Tumor
05CO002_Tumor,Tumor
11CO036_Tumor,Tumor
20CO006_Tumor,Tumor
01CO019_Tumor,Tumor
09CO005_Tumor,Tumor
05CO053_Tumor,Tumor
05CO045_Tumor,Tumor
05CO035_Tumor,Tumor
05CO044_Tumor,Tumor
20CO001_Tumor,Tumor
11CO053_Tumor,Tumor
20CO007_Tumor,Tumor
11CO008_Tumor,Tumor
11CO019_Tumor,Tumor
11CO033_Tumor,Tumor
05CO039_Tumor,Tumor
11CO020_Tumor,Tumor
21CO007_Tumor,Tumor
05CO041_Tumor,Tumor
05CO034_Tumor,Tumor
05CO054_Tumor,Tumor
05CO029_Tumor,Tumor
20CO003_Tumor,Tumor
15CO002_Tumor,Tumor
11CO022_Tumor,Tumor
09CO019_Tumor,Tumor
11CO032_Tumor,Tumor
11CO043_Tumor,Tumor
11CO018_Tumor,Tumor
11CO077_Tumor,Tumor
22CO004_Tumor,Tumor
09CO014_Tumor,Tumor
16CO011_Tumor,Tumor
11CO051_Tumor,Tumor
11CO021_Tumor,Tumor
09CO018_Tumor,Tumor
11CO037_Tumor,Tumor
11CO054_Tumor,Tumor
09CO011_Tumor,Tumor
20CO004_Tumor,Tumor
01CO014_Tumor,Tumor
05CO032_Tumor,Tumor
11CO052_Tumor,Tumor
05CO020_Tumor,Tumor
05CO049_Tumor,Tumor
05CO037_Tumor,Tumor
05CO048_Tumor,Tumor
11CO048_Tumor,Tumor
09CO008_Tumor,Tumor
11CO045_Tumor,Tumor
14CO003_Tumor,Tumor
05CO026_Tumor,Tumor
21CO006_Tumor,Tumor
11CO030_Tumor,Tumor
11CO062_Tumor,Tumor
11CO047_Tumor,Tumor
11CO072_Tumor,Tumor
11CO031_Tumor,Tumor
11CO044_Tumor,Tumor
01CO005_Tumor,Tumor
05CO028_Tumor,Tumor
09CO015_Tumor,Tumor
11CO079_Tumor,Tumor
05CO047_Tumor,Tumor
11CO042_Tumor,Tumor
05CO015_Tumor,Tumor
01CO022_Tumor,Tumor
11CO005_Tumor,Tumor
11CO039_Tumor,Tumor
11CO010_Tumor,Tumor
09CO022_Tumor,Tumor
14CO005_Tumor,Tumor
09CO013_Tumor,Tumor
11CO057_Tumor,Tumor
01CO006_Tumor,Tumor
16CO002_Tumor,Tumor
11CO058_Tumor,Tumor
11CO027_Tumor,Tumor
11CO007_Tumor,Tumor
01CO015_Tumor,Tumor
05CO003_Tumor,Tumor
05CO006_Tumor,Tumor
16CO006_Tumor,Tumor
09CO006_Tumor,Tumor
11CO061_Tumor,Tumor
01CO013_Tumor,Tumor
06CO001_Tumor,Tumor
27CO004_Tumor,Tumor
05CO050_Tumor,Tumor
15CO001_Tumor,Tumor
06CO002_Tumor,Tumor
16CO003_Tumor,Tumor
11CO070_Tumor,Tumor
05CO033_Tumor,Tumor
05CO011_Tumor,Tumor
