GeneSymbol,PSL
NUDT4B,Cytosol
IGKV3-7,Plasma membrane
IGKV1D-42,Plasma membrane
IGLV4-69,Plasma membrane
IGLV8-61,Plasma membrane
IGLV4-60,Plasma membrane
IGLV11-55,Plasma membrane
IGLV10-54,Plasma membrane
IGLV1-50,Plasma membrane
IGLV5-48,Plasma membrane
IGLV7-46,Plasma membrane
IGLV5-37,Plasma membrane
IGLV2-33,Plasma membrane
IGLV3-22,Plasma membrane
IGLV2-18,Plasma membrane
IGLV3-16,Plasma membrane
IGLV3-12,Plasma membrane
IGLV3-10,Plasma membrane
IGLV3-9,Plasma membrane
IGLV4-3,Plasma membrane
IGHV3-64,Plasma membrane
IGHV4-4,Plasma membrane
IGKV2D-24,Plasma membrane
IGKV2D-29,Plasma membrane
IGKV1D-17,Plasma membrane
IGKV1-27,Plasma membrane
IGKV1-37,Plasma membrane
TRAJ42,Plasma membrane
TRAJ31,Plasma membrane
IGHV4OR15-8,Plasma membrane
IGHV3OR16-12,Plasma membrane
IGHV1OR15-1,Plasma membrane
IGHV3OR15-7,Plasma membrane
IGHV3OR16-13,Plasma membrane
IGHV3OR16-10,Plasma membrane
IGHV3OR16-8,Plasma membrane
IGLV5-45,Plasma membrane
IGHV4-30-2,Plasma membrane
IGKV3D-15,Plasma membrane
IGKV1D-8,Plasma membrane
TBC1D3D,Plasma membrane
LOC102724971,Plasma membrane
IGKV2-40,Plasma membrane
TBC1D3I,Plasma membrane
IGHV1OR21-1,Plasma membrane
TBC1D3E,Plasma membrane
CYP2D7,Mitochondrion
TBC1D3K,Plasma membrane
SMIM26,Mitochondrion
CCDC187,Centrosome
IGKV2D-26,Plasma membrane
IGKV3D-11,Plasma membrane
IGLV5-52,Plasma membrane
IGLV3-32,Plasma membrane
IGHV1-45,Plasma membrane
IGHV3-49,Plasma membrane
IGKV6D-21,Plasma membrane
IGLJ1,Plasma membrane
IGKJ1,Plasma membrane
IGLV1-36,Plasma membrane
IGHV6-1,Plasma membrane
IGHV3-15,Plasma membrane
IGHV3-21,Plasma membrane
IGHV2-26,Plasma membrane
IGHV3-73,Plasma membrane
IGHV7-81,Plasma membrane
IGHV3-74,Plasma membrane
IGHV3-43,Plasma membrane
IGLV9-49,Plasma membrane
IGHV3-72,Plasma membrane
IGKV1D-43,Plasma membrane
IGHV3OR16-9,Plasma membrane
IGHV2OR16-5,Plasma membrane
IGHV1OR15-9,Plasma membrane
IGKV1D-13,Plasma membrane
IGHV1-69D,Plasma membrane
IGKV6-21,Plasma membrane
IGKV6D-41,Plasma membrane
IGHV1-3,Plasma membrane
IGHV3-16,Plasma membrane
IGHV1-18,Plasma membrane
IGHV3-20,Plasma membrane
IGHV1-24,Plasma membrane
IGHV4-28,Plasma membrane
IGHV3-35,Plasma membrane
IGHV3-38,Plasma membrane
IGHV5-51,Plasma membrane
IGHV1-58,Plasma membrane
IGHV4-61,Plasma membrane
IGHV3-66,Plasma membrane
IGHV2-70D,Plasma membrane
IGKV3D-7,Plasma membrane
IGHJ1,Plasma membrane
IGKV1-8,Plasma membrane
IGKV2-24,Plasma membrane
IGKV1-9,Plasma membrane
IGKV1-6,Plasma membrane
MT-RNR1,Nucleus
MT-RNR1,Mitochondrion
KRTAP4-8,Cytosol
IGHV1-69-2,Plasma membrane
IGLV5-39,Plasma membrane
IGHV7-4-1,Plasma membrane
A0A0J9YW62,Plasma membrane
A0A0J9YWU9,Plasma membrane
IGHV3-64D,Plasma membrane
IGHV5-10-1,Plasma membrane
A0A0J9YY99,Plasma membrane
GLYATL1B,Mitochondrion
KLF18,Nucleus
LOC100996750,Cytosol
KRTAP9-6,Cytosol
TUNAR,Endoplasmic reticulum
CSNKA2IP,Nucleus
TCAF2C,Plasma membrane
ZNF722,Nucleus
GSTT4,Cytosol
A0A1W2PRG0,Cytosol
A0A1W2PRN1,Golgi apparatus
FOXL3,Nucleus
OR5D3P,Plasma membrane
H2BK1,Nucleus
OR5BS1P,Plasma membrane
FOXO3B,Cytosol
POLGARF,Nucleolus
LINC-PINT,Nucleus
ARHGEF18,Cytosol
ARHGEF18,Plasma membrane
SMIM45,Nucleus
TRBC2,Plasma membrane
HAPSTR2,Nucleus
RPSA2,Nucleus
RPSA2,Plasma membrane
AK4P3,Mitochondrion
H2AL1Q,Nucleus
RBM47,Nucleus
IFT56,Centrosome
FER1L5,Plasma membrane
TMEM129,Endoplasmic reticulum
